#F1	F2	d
MZ22523790	MZ22505943	0.5413
MZ22529390	MZ22510632	0.6086
MZ22530600	MZ22502567	0.5374
MZ22526136	MZ22513668	0.1438
MZ22528548	MZ22503140	0.2145
MZ22509867	MZ22500238	0.2354
MZ22524928	MZ22514472	0.3350
MZ22531123	MZ22507742	0.2747
MZ22527470	MZ22510362	0.2699
MZ22522349	MZ22507899	0.6004
MZ22515524	MZ22505844	0.5825
